date,touchpoint,touchpoints
2023-01-02,affiliate,3
2023-01-02,direct visit,4
2023-01-02,display,1
2023-01-02,email,1
2023-01-02,online video,1
2023-01-02,paid search,3
2023-01-03,affiliate,4
2023-01-03,direct visit,5
2023-01-03,display,1
2023-01-03,email,7
2023-01-03,online video,2
2023-01-03,organic search,6
2023-01-03,paid search,6
2023-01-03,paid social media,1
2023-01-04,affiliate,2
2023-01-04,direct visit,12
2023-01-04,display,3
2023-01-04,email,10
2023-01-04,online video,1
2023-01-04,organic search,10
2023-01-04,paid search,13
2023-01-04,paid social media,5
2023-01-05,affiliate,5
2023-01-05,direct visit,24
2023-01-05,display,2
2023-01-05,email,11
2023-01-05,organic search,13
2023-01-05,paid search,20
2023-01-05,paid social media,8
2023-01-06,affiliate,11
2023-01-06,direct visit,25
2023-01-06,display,5
2023-01-06,email,23
2023-01-06,organic search,25
2023-01-06,paid search,33
2023-01-06,paid social media,10
2023-01-07,affiliate,18
2023-01-07,direct visit,39
2023-01-07,display,4
2023-01-07,email,34
2023-01-07,online video,1
2023-01-07,organic search,22
2023-01-07,paid search,32
2023-01-07,paid social media,7
2023-01-08,affiliate,11
2023-01-08,direct visit,36
2023-01-08,display,7
2023-01-08,email,36
2023-01-08,online video,3
2023-01-08,organic search,34
2023-01-08,paid search,32
2023-01-08,paid social media,13
2023-01-09,affiliate,13
2023-01-09,direct visit,67
2023-01-09,display,8
2023-01-09,email,40
2023-01-09,online video,2
2023-01-09,organic search,22
2023-01-09,paid search,56
2023-01-09,paid social media,11
2023-01-10,affiliate,21
2023-01-10,direct visit,71
2023-01-10,display,13
2023-01-10,email,39
2023-01-10,online video,3
2023-01-10,organic search,24
2023-01-10,paid search,42
2023-01-10,paid social media,11
2023-01-11,affiliate,16
2023-01-11,direct visit,66
2023-01-11,display,14
2023-01-11,email,39
2023-01-11,online video,4
2023-01-11,organic search,35
2023-01-11,paid search,48
2023-01-11,paid social media,24
2023-01-12,affiliate,14
2023-01-12,direct visit,72
2023-01-12,display,8
2023-01-12,email,38
2023-01-12,online video,4
2023-01-12,organic search,44
2023-01-12,paid search,57
2023-01-12,paid social media,20
2023-01-13,affiliate,22
2023-01-13,direct visit,73
2023-01-13,display,8
2023-01-13,email,62
2023-01-13,online video,7
2023-01-13,organic search,40
2023-01-13,paid search,83
2023-01-13,paid social media,22
2023-01-14,affiliate,34
2023-01-14,direct visit,97
2023-01-14,display,10
2023-01-14,email,44
2023-01-14,online video,4
2023-01-14,organic search,63
2023-01-14,paid search,76
2023-01-14,paid social media,25
2023-01-15,affiliate,22
2023-01-15,direct visit,105
2023-01-15,display,11
2023-01-15,email,74
2023-01-15,online video,4
2023-01-15,organic search,52
2023-01-15,paid search,90
2023-01-15,paid social media,23
2023-01-16,affiliate,19
2023-01-16,direct visit,128
2023-01-16,display,12
